asin,imUrl,labels_qty,overall,text
0006392202,http://ecx.images-amazon.com/images/I/41GR6W1C04L.jpg,5.0,1.0,"[['product', 'font', 'advertising', 'film', 'brand']]"
0006512666,http://ecx.images-amazon.com/images/I/413Q-gphrBL.jpg,10.0,1.5,"[['blue', 'font', 'text', 'aqua', 'product', 'product', 'turquoise', 'pattern', 'circle', 'design']]"
0006514219,http://ecx.images-amazon.com/images/I/71NkkYdXfIL.jpg,5.0,1.5,"[['text', 'font', 'poster', 'brand', 'girl']]"
0006514359,http://ecx.images-amazon.com/images/I/51HiXotpl7L.jpg,9.0,1.0,"[['text', 'font', 'poster', 'advertising', 'product', 'graphic design', 'film', 'graphics', 'brand']]"
0007140975,http://ecx.images-amazon.com/images/I/51ZHB399SGL.jpg,9.0,1.0,"[['text', 'yellow', 'font', 'poster', 'advertising', 'produce', 'happiness', 'product', 'orange']]"
0007213859,http://ecx.images-amazon.com/images/I/61QGYx1cnpL.jpg,10.0,1.0,"[['flower', 'painting', 'watercolor paint', 'dandelion', 'paint', 'artwork', 'stock photography', 'still life', 'acrylic paint', 'modern art']]"
0007248989,http://ecx.images-amazon.com/images/I/41XAET122AL.jpg,7.0,1.0,"[['facial expression', 'text', 'smile', 'forehead', 'font', 'poster', 'jaw']]"
0007332750,http://ecx.images-amazon.com/images/I/51gHUOJWVvL.jpg,5.0,1.0,"[['poster', 'film', 'advertising', 'action film', 'cg artwork']]"
0007491727,http://ecx.images-amazon.com/images/I/51VC16BE2VL.jpg,7.0,1.0,"[['text', 'font', 'graphic design', 'advertising', 'graphics', 'brand', 'logo']]"
0028619560,http://ecx.images-amazon.com/images/I/51-0VG7G7EL.jpg,10.0,1.0,"[['text', 'yellow', 'product', 'font', 'line', 'product', 'area', 'material', 'paper', 'advertising']]"
0028620135,http://ecx.images-amazon.com/images/I/51stXaBfAGL.jpg,7.0,1.0,"[['text', 'font', 'product', 'line', 'area', 'product', 'brand']]"
0028626427,http://ecx.images-amazon.com/images/I/51T12PcVUOL.jpg,10.0,1.5,"[['wildlife', 'mammal', 'fauna', 'flora', 'cat like mammal', 'organism', 'terrestrial animal', 'big cats', 'grass', 'carnivoran']]"
0028636945,http://ecx.images-amazon.com/images/I/51VDk4lonvL.jpg,8.0,1.0,"[['text', 'media', 'font', 'interior design', 'advertising', 'product', 'book', 'flooring']]"
0028642600,http://ecx.images-amazon.com/images/I/51KE41GNN7L.jpg,5.0,1.0,"[['footwear', 'shoe', 'font', 'advertising', 'sandal']]"
0028644719,http://ecx.images-amazon.com/images/I/51ZOYsr35yL.jpg,9.0,1.5,"[['text', 'font', 'advertising', 'line', 'area', 'material', 'product', 'media', 'brand']]"
0028659287,http://ecx.images-amazon.com/images/I/414VF5A5HDL.jpg,7.0,1.0,"[['text', 'font', 'poster', 'logo', 'graphic design', 'graphics', 'brand']]"
0028722809,http://ecx.images-amazon.com/images/I/51LgXgbthTL.jpg,10.0,1.0,"[['text', 'joint', 'hand', 'black and white', 'finger', 'arm', 'jaw', 'muscle', 'font', 'angle']]"
006000455X,http://ecx.images-amazon.com/images/I/51zLbNENmHL.jpg,7.0,1.0,"[['tree', 'text', 'poster', 'phenomenon', 'font', 'sky', 'film']]"
0060011602,http://ecx.images-amazon.com/images/I/51U6cMKMvYL.jpg,5.0,1.0,"[['text', 'poster', 'history', 'advertising', 'font']]"
0060080817,http://ecx.images-amazon.com/images/I/4141HKPBVSL.jpg,6.0,1.0,"[['architecture', 'poster', 'phenomenon', 'advertising', 'building', 'facade']]"
0060086637,http://ecx.images-amazon.com/images/I/51YSmfHpuTL.jpg,4.0,1.0,"[['film', 'poster', 'magazine', 'font']]"
