asin,imUrl,labels_qty,overall,text
0001473727,http://ecx.images-amazon.com/images/I/512M299KGAL.jpg,10.0,5.0,"[['text', 'pink', 'font', 'product', 'organ', 'paper', 'line', 'area', 'organism', 'party supply']]"
000100039X,http://ecx.images-amazon.com/images/I/81ZKLPivYUL.jpg,7.0,4.666666666666667,"[['text', 'yellow', 'font', 'poster', 'brand', 'book', 'signage']]"
0001473905,http://ecx.images-amazon.com/images/I/61KPC59B81L.jpg,10.0,5.0,"[['text', 'font', 'paper', 'line', 'area', 'paper product', 'diagram', 'document', 'rectangle', 'drawing']]"
0001473123,http://ecx.images-amazon.com/images/I/317G8R2TYBL.jpg,9.0,5.0,"[['blue', 'text', 'font', 'line', 'product', 'area', 'paper', 'material', 'brand']]"
0002005395,http://ecx.images-amazon.com/images/I/415HPT70H7L.jpg,6.0,4.0,"[['photo caption', 'girl', 'hand', 'finger', 'neck', 'font']]"
0002051850,http://ecx.images-amazon.com/images/I/5122XJRJyrL.jpg,3.0,4.275862068965517,"[['text', 'font', 'straw']]"
0002113570,http://ecx.images-amazon.com/images/I/51iMi0zYqeL.jpg,5.0,4.857142857142857,"[['fauna', 'horse like mammal', 'tree', 'plant', 'grass']]"
0002008572,http://ecx.images-amazon.com/images/I/41PjujqMSKL.jpg,7.0,4.75,"[['text', 'poster', 'black and white', 'human behavior', 'film', 'font', 'book']]"
0002158388,http://ecx.images-amazon.com/images/I/91kQDI6r%2BZL.jpg,6.0,4.0,"[['text', 'poster', 'advertising', 'font', 'album cover', 'signage']]"
0002154129,http://ecx.images-amazon.com/images/I/51ED0F88FXL.jpg,7.0,4.0,"[['nature', 'tree', 'rainforest', 'forest', 'jungle', 'grass', 'font']]"
000215949X,http://ecx.images-amazon.com/images/I/5159ZN5BGAL.jpg,7.0,4.0,"[['yellow', 'cuisine', 'food', 'dish', 'brunch', 'meal', 'advertising']]"
0002185385,http://ecx.images-amazon.com/images/I/41JB1K72ACL.jpg,4.0,4.0,"[['text', 'book', 'font', 'advertising']]"
000215725X,http://ecx.images-amazon.com/images/I/51xVoZwHYvL.jpg,10.0,4.666666666666667,"[['text', 'watercolor paint', 'arch', 'history', 'poster', 'painting', 'paint', 'art', 'ancient history', 'illustration']]"
0002178559,http://ecx.images-amazon.com/images/I/61Ufn5kWy9L.jpg,2.0,4.0,"[['text', 'book']]"
0002117088,http://ecx.images-amazon.com/images/I/41isN3EczFL.jpg,7.0,5.0,"[['green', 'paper', 'organism', 'notebook', 'drawing', 'turquoise', 'paper product']]"
0002007770,http://ecx.images-amazon.com/images/I/511VYFJMJDL.jpg,4.0,4.421383647798742,"[['text', 'advertising', 'font', 'poster']]"
0002219417,http://ecx.images-amazon.com/images/I/41qvc1Xmo3L.jpg,3.0,4.846153846153847,"[['text', 'font', 'book']]"
0002226901,http://ecx.images-amazon.com/images/I/51cqfx8faJL.jpg,4.0,5.0,"[['poster', 'text', 'film', 'advertising']]"
0002251337,http://ecx.images-amazon.com/images/I/51EQN2CM4VL.jpg,10.0,4.0,"[['liqueur', 'natural foods', 'food', 'distilled beverage', 'dish', 'cuisine', 'local food', 'recipe', 'olive oil', 'drink']]"
000222383X,http://ecx.images-amazon.com/images/I/51S6XET6X0L.jpg,10.0,4.714285714285714,"[['sailing ship', 'ship', 'watercraft', 'fluyt', 'caravel', 'sail', 'sailboat', 'brigantine', 'advertising', 'clipper']]"
0002232529,http://ecx.images-amazon.com/images/I/514V4VWy8hL.jpg,9.0,4.5,"[['poster', 'text', 'album cover', 'book', 'advertising', 'modern art', 'film', 'font', 'novel']]"
0002252015,http://ecx.images-amazon.com/images/I/61TMVT6MS9L.jpg,10.0,5.0,"[['food', 'dish', 'vegetable', 'cuisine', 'meal', 'appetizer', 'asian food', 'seafood', 'recipe', 'vegetarian food']]"
0002247399,http://ecx.images-amazon.com/images/I/51Lp8zDjsYL.jpg,1.0,4.194366197183099,[['font']]
0002226618,http://ecx.images-amazon.com/images/I/51GN0M3HX7L.jpg,7.0,4.75,"[['poster', 'album cover', 'advertising', 'film', 'fiction', 'comics', 'fictional character']]"
0002242052,http://ecx.images-amazon.com/images/I/51VPH1JKMrL.jpg,6.0,4.176470588235294,"[['text', 'poster', 'advertising', 'font', 'film', 'book']]"
0002250519,http://ecx.images-amazon.com/images/I/51HBF54YANL.jpg,10.0,5.0,"[['dish', 'food', 'cuisine', 'thai food', 'recipe', 'curry', 'vegetarian food', 'biryani', 'spanish cuisine', 'asian food']]"
0002221020,http://ecx.images-amazon.com/images/I/51bgPPPH8FL.jpg,7.0,4.0,"[['text', 'book', 'advertising', 'poster', 'fiction', 'font', 'novel']]"
